timestamp,distance_m,yaw_deg
1758203373.9066355,0.68,-101.98
1758203373.9569259,0.4,-99.29
1758203374.0072048,0.49,-93.88
1758203374.0574856,0.64,-88.94
1758203374.107767,0.47,-83.54
1758203374.1580431,0.45,-78.59
1758203374.2083216,0.5,-73.18
1758203374.2586036,0.43,-68.23
1758203374.3088863,0.4,-62.84
1758203374.359166,0.51,-57.89
1758203374.4094386,0.57,-52.49
1758203374.4597113,0.75,-47.54
1758203374.50999,0.74,-42.14
1758203374.5602677,1.45,-37.19
1758203374.6105566,0.27,-31.79
1758203374.6608403,0.08,-26.84
1758203374.7111251,5.66,-21.44
1758203374.761412,6.25,-16.49
1758203374.811711,4.3,-11.09
1758203374.86199,10.24,-6.13
1758203374.9122584,4.47,-1.19
1758203374.9625328,4.06,4.19
1758203375.0128493,0.53,9.14
1758203375.0631447,0.43,14.55
1758203375.1134362,0.4,19.49
1758203375.1637342,0.27,24.89
1758203375.2140217,0.21,29.84
1758203375.2642891,0.21,35.25
1758203375.3145695,0.22,40.19
1758203375.3649936,0.23,45.6
1758203375.415273,0.28,50.55
1758203375.465553,0.33,55.94
1758203375.5158374,0.3,60.9
1758203375.5661538,0.32,66.3
1758203375.616622,0.36,71.25
1758203375.6669188,0.37,76.65
1758203375.717215,0.41,81.6
1758203375.767508,0.37,87.0
1758203375.817818,0.44,91.95
1758203375.8681102,0.21,97.35
1758203375.918408,0.14,102.3
1758203375.968722,0.14,107.7
1758203376.0190167,0.17,112.65
1758203376.0692968,0.39,118.05
1758203376.1195707,0.84,123.0
1758203376.1698568,0.96,128.39
1758203376.2201395,0.57,133.35
1758203376.2703981,0.51,138.75
1758203376.3206978,0.55,143.7
1758203376.3710067,0.72,147.3
1758203376.4212787,0.49,149.55
1758203376.4715166,0.45,150.89
1758203376.5217905,0.29,152.25
1758203376.572058,0.42,153.6
1758203376.6223454,0.5,154.5
1758203376.6726527,0.52,155.39
1758203376.7229602,0.49,156.3
1758203376.7732403,0.47,157.2
1758203376.8235214,0.44,160.04
1758203376.8738077,0.44,160.04
1758203376.9240994,0.45,159.59
1758203376.974377,0.48,158.7
1758203377.0246632,0.49,157.79
1758203377.0749643,0.52,156.89
1758203377.1252692,0.46,155.54
1758203377.1755435,0.34,154.2
1758203377.225815,0.36,152.84
1758203377.2760963,0.49,151.5
1758203377.3263764,0.66,148.79
1758203377.3766444,0.59,144.75
1758203377.4269128,0.51,139.79
1758203377.4771824,0.57,134.39
1758203377.5274582,0.91,129.45
1758203377.5777237,0.88,124.05
1758203377.6279995,0.42,119.09
1758203377.6783025,0.17,113.7
1758203377.7286026,0.15,108.74
1758203377.7788975,0.15,103.34
1758203377.8291798,0.19,98.39
1758203377.8794599,0.43,92.99
1758203377.9297423,0.39,88.05
1758203377.980012,0.41,82.64
1758203378.0302851,0.37,77.69
1758203378.0805366,0.36,72.29
1758203378.1308184,0.32,67.35
1758203378.181113,0.3,61.95
1758203378.2314012,0.33,57.0
1758203378.281672,0.42,51.6
1758203378.3319488,0.46,46.65
1758203378.3822236,0.37,41.25
1758203378.4325073,0.34,36.3
1758203378.482775,0.33,30.9
1758203378.5330613,0.33,25.95
1758203378.5833428,0.33,20.55
1758203378.6336405,0.33,15.6
1758203378.6839337,0.34,10.2
1758203378.7342312,0.36,5.25
1758203378.7845223,0.38,0.3
1758203378.8348153,10.38,-5.08
1758203378.8850932,4.05,-10.04
1758203378.9353948,6.32,-15.44
1758203378.9856913,5.93,-20.38
1758203379.0359972,0.08,-25.79
1758203379.086288,0.13,-30.73
1758203379.1365776,1.51,-36.13
1758203379.1868494,0.72,-41.09
1758203379.237154,0.78,-46.48
1758203379.2876282,0.58,-51.43
1758203379.3380306,0.52,-56.84
1758203379.3883955,0.41,-61.79
1758203379.4387543,0.42,-67.19
1758203379.4891539,0.51,-72.14
1758203379.5395389,0.46,-77.54
1758203379.589928,0.46,-82.49
1758203379.6403005,0.62,-87.89
1758203379.6907146,0.53,-92.84
1758203379.7411304,0.37,-98.24
1758203379.7915127,0.66,-103.19
1758203379.841872,0.65,-108.59
1758203379.8921583,0.52,-113.54
1758203379.9424295,0.53,-118.94
1758203379.9927042,0.58,-123.89
1758203380.0429747,0.63,-129.29
1758203380.0933473,0.6,-134.24
1758203380.1437287,0.57,-139.63
1758203380.1940234,0.44,-144.59
1758203380.2444608,0.37,-147.74
1758203380.294931,0.37,-149.99
1758203380.3453243,0.36,-151.34
1758203380.3956141,0.37,-152.69
1758203380.446004,0.4,-153.59
1758203380.4963796,0.49,-154.94
1758203380.546754,0.56,-155.84
1758203380.5971837,0.57,-156.74
1758203380.6475754,0.57,-157.19
1758203380.697979,0.56,-160.49
1758203380.748369,0.56,-160.49
1758203380.7987466,0.56,-159.58
1758203380.8491251,0.57,-158.69
1758203380.8995116,0.57,-158.24
1758203380.9498985,0.56,-156.88
1758203381.000291,0.47,-155.99
1758203381.0507123,0.39,-154.63
1758203381.1011016,0.37,-153.28
1758203381.1514926,0.36,-151.94
1758203381.2018752,0.39,-150.13
1758203381.2522588,0.41,-146.53
1758203381.302542,0.53,-141.58
1758203381.352937,0.58,-136.19
1758203381.4033196,0.66,-131.24
1758203381.4536974,0.57,-125.83
1758203381.504084,0.58,-120.88
1758203381.5543563,0.46,-115.48
1758203381.604745,0.67,-110.54
1758203381.6550431,0.68,-105.13
1758203381.7053323,0.44,-100.19
1758203381.7557101,0.43,-94.79
1758203381.8060813,0.67,-89.83
1758203381.8564537,0.5,-84.44
1758203381.9068305,0.44,-79.48
1758203381.9571009,0.49,-74.09
1758203382.0074687,0.46,-69.13
1758203382.057836,0.38,-63.74
1758203382.108195,0.49,-58.79
1758203382.158567,0.56,-53.39
1758203382.2089303,0.7,-48.44
1758203382.259292,0.78,-43.04
1758203382.3096576,1.23,-38.08
1758203382.3600261,0.55,-32.69
1758203382.4103947,0.08,-27.74
1758203382.4607718,0.07,-22.34
1758203382.511043,6.14,-17.39
1758203382.561306,4.51,-11.98
1758203382.6116571,10.4,-7.04
1758203382.6620162,0.41,-1.64
1758203382.7123833,0.38,3.3
1758203382.7627423,0.37,8.25
1758203382.8130927,0.36,13.65
1758203382.8634398,0.36,18.59
1758203382.913792,0.35,23.99
1758203382.9641461,0.35,28.95
1758203383.014494,0.35,34.34
1758203383.0648475,0.36,39.3
1758203383.1151958,0.39,44.69
1758203383.1655526,0.42,49.65
1758203383.2159069,0.34,55.05
1758203383.2662616,0.33,59.99
1758203383.3166282,0.3,65.4
1758203383.3669431,0.36,70.35
1758203383.417185,0.37,75.75
1758203383.467451,0.41,80.7
1758203383.517704,0.38,86.1
1758203383.567953,0.46,91.05
1758203383.6182199,0.26,96.45
1758203383.6684968,0.15,101.4
1758203383.718741,0.14,106.8
1758203383.768992,0.17,111.75
1758203383.81924,0.31,117.15
1758203383.869489,0.74,122.1
1758203383.9197364,1.02,127.5
1758203383.969994,0.58,132.45
1758203384.020244,0.52,137.85
1758203384.0705013,0.53,142.8
1758203384.1207683,0.72,146.85
1758203384.171026,0.53,149.1
1758203384.2213182,0.47,150.89
1758203384.2716496,0.31,152.25
1758203384.3219361,0.38,153.14
1758203384.3722086,0.48,154.5
1758203384.4224505,0.52,155.39
1758203384.4727294,0.49,156.3
1758203384.5229883,0.48,157.2
1758203384.573253,0.45,157.64
1758203384.6235113,0.43,160.04
1758203384.6737635,0.45,159.59
1758203384.7240264,0.47,158.7
1758203384.774294,0.49,157.79
1758203384.824551,0.52,156.89
1758203384.8748128,0.48,156.0
1758203384.925078,0.37,154.64
1758203384.975345,0.33,153.29
1758203385.0256104,0.48,151.95
1758203385.0758727,0.62,149.7
1758203385.1261334,0.62,145.64
1758203385.1764066,0.51,140.7
1758203385.2266736,0.56,135.29
1758203385.2769628,0.83,130.34
1758203385.3272603,0.93,124.95
1758203385.3775358,0.43,119.99
1758203385.4278147,0.19,114.59
1758203385.4780827,0.15,109.64
1758203385.5283494,0.14,104.24
1758203385.5786147,0.17,99.3
1758203385.628876,0.4,93.89
1758203385.679168,0.41,88.95
1758203385.7294476,0.41,83.55
1758203385.7797127,0.37,78.6
1758203385.8299909,0.36,73.19
1758203385.8802543,0.33,68.24
1758203385.9305108,0.29,62.85
1758203385.980787,0.32,57.9
1758203386.03106,0.38,52.5
1758203386.081327,0.41,47.55
1758203386.1315818,0.39,42.15
1758203386.1818464,0.38,37.2
1758203386.2321172,0.37,31.8
1758203386.282383,0.37,26.85
1758203386.332654,0.38,21.45
1758203386.3829284,0.38,16.5
1758203386.4331942,0.39,11.1
1758203386.4834578,0.41,6.14
1758203386.5337222,0.42,1.2
1758203386.5839865,0.47,-4.18
1758203386.6342535,3.97,-9.13
1758203386.6845043,6.53,-14.54
1758203386.7347512,5.91,-19.48
1758203386.7850115,0.08,-24.88
1758203386.8352697,0.1,-29.83
1758203386.8855317,1.44,-35.24
1758203386.9357977,0.69,-40.18
1758203386.9860613,0.85,-45.59
1758203387.0363507,0.6,-50.54
1758203387.0866134,0.53,-55.93
1758203387.1368897,0.42,-60.89
1758203387.1871579,0.41,-66.29
1758203387.2374213,0.5,-71.24
1758203387.2876956,0.48,-76.64
1758203387.3379562,0.45,-81.59
1758203387.3882298,0.6,-86.99
1758203387.438509,0.57,-91.94
1758203387.488811,0.3,-97.34
1758203387.5390751,0.64,-102.29
1758203387.5893428,0.65,-107.69
1758203387.6396277,0.59,-112.64
1758203387.689909,0.49,-118.04
1758203387.7401912,0.59,-122.99
1758203387.7904758,0.62,-128.38
1758203387.8408105,0.62,-133.34
1758203387.8910942,0.59,-138.74
1758203387.941376,0.46,-143.69
1758203387.9916606,0.37,-147.29
1758203388.0419495,0.38,-149.54
1758203388.0922313,0.36,-150.88
1758203388.1425192,0.37,-152.24
1758203388.1928184,0.39,-153.59
1758203388.2431061,0.47,-154.49
1758203388.2933958,0.55,-155.38
1758203388.3436897,0.57,-156.29
1758203388.3939803,0.57,-157.19
1758203388.4442685,0.56,-160.49
1758203388.494552,0.56,-160.49
1758203388.5448291,0.56,-160.03
1758203388.595126,0.57,-159.13
1758203388.645404,0.57,-158.24
1758203388.6956744,0.56,-157.33
1758203388.7459402,0.49,-155.99
1758203388.7962053,0.4,-155.08
1758203388.8464618,0.37,-153.74
1758203388.8967426,0.35,-152.38
1758203388.9470131,0.39,-150.58
1758203388.9972777,0.39,-147.44
1758203389.0475395,0.5,-142.49
1758203389.0977864,0.58,-137.53
1758203389.1480415,0.65,-132.13
1758203389.1983006,0.58,-127.19
1758203389.2485957,0.6,-121.79
1758203389.2990685,0.44,-116.38
1758203389.3494413,0.67,-111.44
1758203389.399806,0.68,-106.04
1758203389.4501803,0.5,-101.08
1758203389.5005698,0.34,-95.69
1758203389.550989,0.69,-90.73
1758203389.6014185,0.53,-85.34
1758203389.6517944,0.44,-80.38
1758203389.70217,0.5,-74.98
1758203389.7525496,0.48,-70.03
1758203389.8029258,0.38,-64.63
1758203389.853306,0.47,-59.69
1758203389.90367,0.55,-54.29
1758203389.954048,0.66,-49.34
1758203390.0044117,0.82,-43.94
1758203390.0546784,1.03,-38.99
1758203390.104956,0.73,-33.58
1758203390.1552215,0.09,-28.64
1758203390.205474,0.07,-23.24
1758203390.255851,6.09,-18.29
1758203390.3062587,6.58,-12.89
1758203390.3566582,1.28,-7.94
1758203390.4070466,1.44,-2.54
1758203390.4574237,2.66,2.39
1758203390.5077908,1.02,7.35
1758203390.5581744,0.96,12.75
1758203390.6085591,0.9,17.69
1758203390.658937,0.94,23.09
1758203390.7093,1.13,28.05
1758203390.7596698,3.54,33.44
1758203390.8100405,3.31,38.39
1758203390.860426,2.78,43.8
1758203390.9107344,1.24,48.74
1758203390.9610162,0.38,54.15
1758203391.011379,0.32,59.1
1758203391.0617378,0.29,64.5
1758203391.1120937,0.35,69.45
1758203391.1623623,0.37,74.85
1758203391.2126372,0.39,79.8
1758203391.2628887,0.38,85.2
1758203391.3130991,0.45,90.15
1758203391.3633142,0.31,95.55
1758203391.4135418,0.16,100.5
1758203391.4637573,0.14,105.9
1758203391.5139933,0.16,110.85
1758203391.5643384,0.26,116.25
1758203391.6146777,0.63,121.2
1758203391.6650388,1.02,126.6
1758203391.7154105,0.64,131.55
1758203391.765767,0.55,136.95
1758203391.816141,0.52,141.89
1758203391.8664126,0.69,146.39
1758203391.9166594,0.57,149.1
1758203391.967028,0.48,150.45
1758203392.017285,0.34,151.8
1758203392.0676107,0.35,153.14
1758203392.117959,0.47,154.05
1758203392.1682885,0.52,155.39
1758203392.2186368,0.49,156.3
1758203392.2689753,0.48,156.75
1758203392.3193202,0.46,157.64
1758203392.3696785,0.44,160.04
