timestamp,distance_m,yaw_deg
1758890338.6599963,0.09,15.45
1758890338.7103388,0.09,20.84
1758890338.7606766,0.1,25.8
1758890338.810961,0.1,31.19
1758890338.8613412,0.1,36.14
1758890338.9117198,0.11,41.55
1758890338.9620893,0.11,46.49
1758890339.0125756,0.12,51.9
1758890339.0630243,0.13,56.85
1758890339.1134365,0.17,62.24
1758890339.1638389,0.18,67.2
1758890339.2143598,0.17,72.6
1758890339.2646735,0.16,77.55
1758890339.3152165,0.16,82.95
1758890339.365524,0.16,87.9
1758890339.4160633,0.15,93.3
1758890339.466365,0.16,98.25
1758890339.5168836,0.16,103.65
1758890339.5697348,0.16,108.6
1758890339.6200294,0.16,114.0
1758890339.6702888,0.17,118.95
1758890339.720564,0.18,124.35
1758890339.770843,0.19,129.3
1758890339.821112,0.18,134.7
1758890339.8714063,0.16,139.64
1758890339.921684,0.15,144.6
1758890339.9719636,0.14,147.75
1758890340.0222485,0.13,150.0
1758890340.0725305,0.13,151.35
1758890340.1228125,0.13,152.7
1758890340.173097,0.12,153.6
1758890340.2233846,0.12,154.95
1758890340.2736604,0.12,155.85
1758890340.3239381,0.12,156.75
1758890340.374262,0.12,157.2
1758890340.4245777,0.12,160.04
1758890340.4748862,0.12,160.04
1758890340.5251675,0.12,159.14
1758890340.5754817,0.12,158.25
1758890340.625893,0.12,157.34
1758890340.6762142,0.12,156.45
1758890340.7265213,0.12,155.54
1758890340.776887,0.13,154.2
1758890340.8272858,0.13,152.84
1758890340.8777144,0.13,151.04
1758890340.928099,0.14,148.34
1758890340.978506,0.15,143.84
1758890341.0289075,0.16,138.89
1758890341.079409,0.19,133.5
1758890341.1298432,0.19,128.55
1758890341.180244,0.17,123.14
1758890341.2305655,0.17,118.2
1758890341.2808986,0.16,112.8
1758890341.3313322,0.16,107.84
1758890341.3816493,0.15,102.45
1758890341.4319355,0.15,97.49
1758890341.4822185,0.16,92.09
1758890341.532606,0.16,87.14
1758890341.5829048,0.16,81.74
1758890341.6334794,0.17,76.79
1758890341.683777,0.17,71.39
1758890341.7341933,0.18,66.44
1758890341.7845964,0.16,61.05
1758890341.8350968,0.13,56.1
1758890341.8854027,0.11,50.7
1758890341.9358208,0.11,45.75
1758890341.9862504,0.1,40.34
1758890342.0365667,0.1,35.4
1758890342.0869627,0.1,30.0
1758890342.1372685,0.09,25.05
1758890342.1876523,0.09,19.65
1758890342.238039,0.09,14.7
1758890342.2884412,0.09,9.29
1758890342.338832,0.09,4.35
1758890342.389242,0.09,-0.58
1758890342.4396448,0.09,-5.99
1758890342.490041,0.1,-10.94
1758890342.5404658,0.1,-16.33
1758890342.5908644,0.1,-21.29
1758890342.641265,0.1,-26.69
1758890342.6922195,0.11,-31.63
1758890342.7426152,0.12,-37.04
1758890342.7930098,0.14,-41.98
1758890342.8434367,0.15,-47.39
1758890342.8938155,0.17,-52.79
1758890342.9443312,0.17,-57.73
1758890342.9947245,0.16,-62.68
1758890343.045327,0.15,-68.09
1758890343.0958972,0.15,-73.04
1758890343.14634,0.15,-78.44
1758890343.1968455,0.15,-83.39
1758890343.2474573,0.15,-88.79
1758890343.29802,0.15,-93.74
1758890343.3484662,0.16,-99.14
1758890343.398949,0.16,-104.54
1758890343.4495149,0.17,-109.49
1758890343.4998085,0.17,-114.44
1758890343.5502872,0.19,-119.84
1758890343.6009,0.17,-124.79
1758890343.6513193,0.15,-130.19
1758890343.7019773,0.14,-135.13
1758890343.752389,0.13,-140.54
1758890343.8028903,0.12,-145.04
1758890343.8534489,0.12,-148.19
1758890343.9037266,0.12,-149.99
1758890343.9540906,0.12,-151.34
1758890344.00452,0.11,-152.69
1758890344.054806,0.11,-154.04
1758890344.1051722,0.11,-154.94
1758890344.1555176,0.11,-155.84
1758890344.2060218,0.11,-156.74
1758890344.2565296,0.11,-157.63
1758890344.3071394,0.11,-160.49
1758890344.3575118,0.11,-160.49
1758890344.4079897,0.11,-159.58
1758890344.458597,0.11,-158.69
1758890344.5089855,0.11,-157.78
1758890344.5595934,0.11,-156.88
1758890344.6101058,0.11,-155.99
1758890344.6605074,0.11,-154.63
1758890344.7109938,0.12,-153.28
1758890344.7614865,0.11,-151.94
